id,author,price,image,imagepublic,title,shortDescription,description,tags1,tags2,section,partition,Tip,Visibility,sorted,saleprice,size,sizeblock,color,colorblock,imageblock,imageblockpublic,tags3,tags4,tags5,tags6,tags7,tags8,maxcount,art
1,David Flanagan1,10.25,https://lh3.googleusercontent.com/pw/AP1GczPPaIlhNtuxnkh_nk-0PteuYFitkPBOnhtbI3epsd1eWNhh1r-iplXKR6LMJTgFsX1AeEFQqctU8l4dooSWDZ_Pu_kLgmJ8BtubxcLq922n_r5U5A=w2400,,Digital Horizons,“Digital Horizons” is an engaging exploration of the ever-evolving landscape of technology and its impact on our lives.,"“Digital Horizons” is an engaging exploration of the ever-evolving landscape of technology and its impact on our lives. Through vivid storytelling, the book delves into topics such as artificial intelligence, cybersecurity, virtual reality, and the future of digital innovation.",Science fiction,,book,Science,book,,new,,,,,,"https://lh3.googleusercontent.com/pw/AP1GczPPaIlhNtuxnkh_nk-0PteuYFitkPBOnhtbI3epsd1eWNhh1r-iplXKR6LMJTgFsX1AeEFQqctU8l4dooSWDZ_Pu_kLgmJ8BtubxcLq922n_r5U5A=w2400,https://lh3.googleusercontent.com/pw/AP1GczNpqDFlKwwyxZv9UiNRQN3OcURWcOCbR2bFT-O5RU0afCQSYlVHZuTrbiHernZWdZlEFb5R0q9Osg0VpDcdowDhXFM1f0P8yyOpGHM6oCG0iupbZQ=w2400",,,,,,,,3,
2,,25.44,,,J2avaScript,J2avaScript is the programming language of the web and is used by more software developers today than any other programming language.,"JavaScript 22is the programming language of the web and is used by more software developers today than any other programming language. For nearly 25 years this best seller has been the go-to guide for JavaScript programmers. The seventh edition is fully updated to cover the 2020 version of JavaScript, and new chapters cover classes, modules, iterators, generators, Promises, async/await, and metaprogramming. You’ll find illuminating and engaging example code throughout. This book is for programmers who want to learn JavaScript and for web developers who want to take their understanding and mastery to the next level. It begins by explaining the JavaScript language itself, in detail, from the bottom up. It then builds on that foundation to cover the web platform and Node.js.",Programming,,book,IT,it,,popular,,,,,,https://lh3.googleusercontent.com/pw/AP1GczMz0opkwDh1y34732G4HhP-jtP68O46CFuyeOAM_oiMxHUY7tlYUpdLAfdVPIETa2pQWJA1EDLwIx-7zynHE-tiMFb7fLCXWjZIKvxLcH_7IOIFbw=w2400,,,,,,,,,width
3,Cook,25.45,https://lh3.googleusercontent.com/pw/AP1GczMbJUMTPYOX2Ah173KTDUaJBZIyyPRaCRPHQzkTWEBxEKY-mJRsm2vHZg4EvjKTX0D5smUoa_mCWPNyh6NB4HFT9iHs7Sz6p1SlnL7zXzphsJCjnA=w2400,,Cook book,"In this book, he dispels the myth that vegan food is exotic or lacks flavor.","In this book, he dispels the myth that vegan food is exotic or lacks flavor.",Cookbook,,book,,it,,,,,,,,https://lh3.googleusercontent.com/pw/AP1GczMbJUMTPYOX2Ah173KTDUaJBZIyyPRaCRPHQzkTWEBxEKY-mJRsm2vHZg4EvjKTX0D5smUoa_mCWPNyh6NB4HFT9iHs7Sz6p1SlnL7zXzphsJCjnA=w2400,,,,,,,,10,
4,David Flanagan2,25.46,,bookreact.jpg,React programming books,This practical guide takes you on a journey to master React.js.,"You’ll build an attractive app (Hacker News React app) while learning ES6, internal state management, and other key React concepts.",Programming,,book,IT,it,,sale,40.55,,,,,,"bookreact.jpg,bookreact2.jpg",,,,,requires focused reading,,19,
5,Lenovo,150,https://lh3.googleusercontent.com/pw/AP1GczM9_Mn72dmw1Z1KUMfz7qK8qwxV0KXKzzBmn-WQtSvQFWCRyE5t3wwkR5Of7IKgxlaeRjuxr6FYVcN8-UkXcZnpppy99yXbU7lcN5P0R8Mgldd36g=w2400,,Tablet,"The XYZ Tablet is a sleek and versatile device designed for productivity, entertainment, and on-the-go convenience. With its powerful hardware and intuitive software, it seamlessly bridges the gap between a laptop and a smartphone.",,10.1-inch Full HD display.,quad-core processor,gadgets,tablet,it,0,sale,200,,,black,,https://lh3.googleusercontent.com/pw/AP1GczM9_Mn72dmw1Z1KUMfz7qK8qwxV0KXKzzBmn-WQtSvQFWCRyE5t3wwkR5Of7IKgxlaeRjuxr6FYVcN8-UkXcZnpppy99yXbU7lcN5P0R8Mgldd36g=w2400,,built-in 64GB storage,8MP rear camera,,,,,,
6,David Flanagan1,25.45,https://lh3.googleusercontent.com/pw/AP1GczMbJUMTPYOX2Ah173KTDUaJBZIyyPRaCRPHQzkTWEBxEKY-mJRsm2vHZg4EvjKTX0D5smUoa_mCWPNyh6NB4HFT9iHs7Sz6p1SlnL7zXzphsJCjnA=w2400,,Cook book,Cook book,"The “Flavors of the World” cookbook is a culinary journey that celebrates diverse cuisines from different cultures. Whether you’re an aspiring chef, a seasoned home cook, or simply someone who enjoys good food, this cookbook offers a delightful collection of recipes and culinary inspiration.",Cookbook,,book,,,,,,,,white,,https://lh3.googleusercontent.com/pw/AP1GczMbJUMTPYOX2Ah173KTDUaJBZIyyPRaCRPHQzkTWEBxEKY-mJRsm2vHZg4EvjKTX0D5smUoa_mCWPNyh6NB4HFT9iHs7Sz6p1SlnL7zXzphsJCjnA=w2400,,,Cookbook,,zip package,easy to read,,,
7,MegaPizza,15.56,,,pizza,,"Pizza is a beloved dish that originated in Italy but has become popular worldwide. It consists of a thin or thick crust topped with various ingredients, typically including tomato sauce, cheese, and a variety of toppings. Whether enjoyed as a quick snack, a family meal, or at a social gathering, pizza is a universal favorite.",Italian food,parmesan cheese,pizza,pizza,promo,,popular,,14 inches,"7:14 inches,8:18 inches",,,https://lh3.googleusercontent.com/pw/AP1GczMj4n3NL1Dwqe-5XcUqTf4h1N3gYnjT3hqwVxEZgLsUwqA6JAw-RWRhknZQzmH27oyDHoyLAf4cY-AEiJWaRlg1AH_3Z-QIrlK9Y0xZxwDoyb6Q4Q=w2400,,2000,,,box,delicate taste,,5,
8,MegaPizza,26,,,pizza,,"Pizza is a beloved dish that originated in Italy but has become popular worldwide. It consists of a thin or thick crust topped with various ingredients, typically including tomato sauce, cheese, and a variety of toppings. Whether enjoyed as a quick snack, a family meal, or at a social gathering, pizza is a universal favorite.",Italian food,seafood,pizza,pizza,,,popular,,18 inches,"7:14 inches,8:18 inches",,,https://lh3.googleusercontent.com/pw/AP1GczMj4n3NL1Dwqe-5XcUqTf4h1N3gYnjT3hqwVxEZgLsUwqA6JAw-RWRhknZQzmH27oyDHoyLAf4cY-AEiJWaRlg1AH_3Z-QIrlK9Y0xZxwDoyb6Q4Q=w2400,,2500,,,box,very spicy,,5,
9,Goozi,100.45,,,women's shoes,women's shoes,,,Genuine Leather,shoes,women's shoes,"women's,promo",,new,,34,"9:34,10:36",white,,"cwomenshoesred.jpg,cwomenshoesred2.jpg","cwomenshoesred.jpg,cwomenshoeswite.jpg",,,,aesthetic packaging,classic,,2,
10,Goozi,100.45,,,women's shoes,women's shoes,,,Synthetic Leather,shoes,women's shoes,"women's,promo",,new,,36,"9:34,10:36",red,,,cwomenshoesred2.jpg,,,,aesthetic packaging,classic,,,width
11,Shoes,44,,,children's shoes,,,,Mesh Fabric,shoes,children's shoes,,,,,22,,blue,,https://lh3.googleusercontent.com/pw/AP1GczOndj66CgQrW-RXbSRf7VgJe2A_Sae7eCqxWlSZEBFtpUpaQZScYgpf-SwIA0vlEgs4FtP2etmyHXQOYQpsERWRlEbi7DKL8vC9AvU5NEYzFA0iIg=w2400,,,,,,simple,,,
12,Shoes,20,,sneakerswhite.jpg,shoes,,,Orthopedic Shoes,Mesh Fabric,shoes,sport shoes,promo,,,,34,,white,"12:white,13;14:lightbrown",,"sneakerswhite.jpg,sneakerswhite2.jpg",,,,box,complex details,,,
13,Shoes,33,,,shoes,,,Orthopedic Shoes,Mesh Fabric,shoes,casual,,,,,44,"13:44,14:33",lightbrown,"12:white,13;14:lightbrown",,sneakersblack.jpg,,,,box,,,2,
14,Shoes,34,,,shoes,,,Orthopedic Shoes,,shoes,casual,,,,,33,"13:44,14:33",lightbrown,"12:white,13;14:lightbrown",,sneakersblack.jpg,,,,box,,,4,